"ID_ESTADO","NOMBRE_ESTADO","ID_MUNICIPIO","MUNICIPIO","MEADE","ANAYA","AMLO","MARGARITA","BRONCO","NUM_VOTOS_CAN_NREG","NUM_VOTOS_NULOS","GANADOR"
19,"NUEVO LEÓN",18,"GARCIA-NLE",5567,12883,28679,44,19538,30,1756,"AMLO"
8,"CHIHUAHUA",22,"DR. BELISARIO DOMINGUEZ-COA",698,538,366,0,43,0,88,"MEADE"
7,"CHIAPAS",98,"TOTOLAPA-CAM",330,1799,2155,3,55,0,404,"AMLO"
6,"COLIMA",8,"MANZANILLO-COL",13019,10950,55852,196,3867,30,2530,"AMLO"
13,"HIDALGO",80,"YAHUALICA-HGO",3037,1624,7154,9,81,0,843,"AMLO"
20,"OAXACA",229,"SAN LORENZO TEXMELUCAN-OAX",412,341,1735,13,21,0,145,"AMLO"
30,"VERACRUZ",26,"AYAHUALULCO-VER",2634,3957,2688,1,81,1,385,"ANAYA"
7,"CHIAPAS",4,"ALTAMIRANO-CAM",9934,589,4541,0,74,0,813,"MEADE"
12,"GUERRERO",29,"CHILPANCINGO DE LOS BRAVO-GRO",17998,8634,90477,2,2721,48,2728,"AMLO"
29,"TLAXCALA",39,"XALOZTOC-TLX",1427,959,7880,11,409,2,186,"AMLO"
19,"NUEVO LEÓN",33,"LAMPAZOS DE NARANJO-NLE",577,1995,701,0,288,0,73,"ANAYA"
20,"OAXACA",177,"SAN JUAN BAUTISTA JAYACATLAN-OAX",165,70,203,0,7,0,22,"AMLO"
31,"YUCATÁN",57,"PANABA-YUC",1898,2300,788,0,52,8,54,"ANAYA"
14,"JALISCO",84,"TALA-JAL",5255,7302,14849,1,1814,17,880,"AMLO"
21,"PUEBLA",102,"NAUZONTLA-PUE",768,434,784,0,23,1,118,"AMLO"
25,"SINALOA",16,"SAN IGNACIO-SIN",3684,1136,3988,2,76,0,491,"AMLO"
12,"GUERRERO",22,"COYUCA DE CATALAN-GRO",2445,3352,11472,3,176,2,794,"AMLO"
20,"OAXACA",43,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA-OAX",6697,1863,39055,5,625,6,895,"AMLO"
16,"MICHOACÁN",103,"URUAPAN-MIC",12313,31388,69989,78,11211,72,4841,"AMLO"
30,"VERACRUZ",140,"SALTABARRANCA-VER",288,1018,1452,0,54,0,101,"AMLO"
